hour,day_of_week,is_weekend,weather_severity,rolling_origin_delay,prev_delay,congestion_score,actual,pred,prob
7,6,1,8.1,20.727272727272727,1.0,2357.688322717622,1,0,0.2120186
7,6,1,8.1,19.95833333333333,-3.0,2357.688322717622,1,0,0.21801558
7,6,1,8.1,20.5,-4.0,2283.888322717622,1,0,0.3170917
7,6,1,8.1,21.071428571428573,-7.0,1698.288322717622,1,0,0.15633775
8,6,1,8.1,19.24242424242424,2.0,2284.0,1,0,0.32520813
8,6,1,8.1,17.024390243902438,8.0,2357.8,1,0,0.17797294
8,6,1,8.1,20.45238095238096,47.0,1698.4,1,0,0.18724695
8,6,1,8.1,27.818181818181817,-10.0,2357.8,1,0,0.24051593
8,6,1,8.1,28.30434782608696,26.0,2357.8,1,0,0.31468508
9,6,1,8.1,20.85,-5.0,163.58980891719744,1,0,0.12010477
9,6,1,8.1,19.07575757575757,-4.0,2283.989808917197,1,0,0.35504755
9,6,1,8.1,18.81159420289855,-4.0,2283.989808917197,1,0,0.35504755
9,6,1,8.1,18.26388888888889,-1.0,2283.989808917197,1,0,0.2568397
9,6,1,8.1,17.945205479452056,23.0,2283.989808917197,1,0,0.32332972
10,6,1,8.1,18.013513513513512,-5.0,2357.5617834394907,1,0,0.28073287
10,6,1,8.1,17.679012345679013,9.0,2357.5617834394907,1,0,0.2979167
10,6,1,8.1,17.301204819277107,-8.0,2357.5617834394907,1,0,0.2657398
10,6,1,8.1,16.8,0.0,2283.7617834394905,1,0,0.12643453
12,6,1,8.1,14.515151515151516,-8.0,2357.658598726114,1,0,0.13080022
12,6,1,8.1,15.03921568627451,0.0,2283.8585987261145,1,0,0.19671702
13,6,1,8.1,13.958677685950413,7.0,2283.8382165605094,1,0,0.22778814
13,6,1,8.1,15.016260162601624,-8.0,2283.8382165605094,1,0,0.20865992
13,6,1,8.1,15.0,-5.0,2283.8382165605094,1,0,0.20043452
14,6,1,8.1,15.1328125,-4.0,2283.870912951168,1,0,0.2259216
14,6,1,8.1,14.297872340425531,-5.0,2283.870912951168,1,0,0.20252228
14,6,1,8.1,14.507042253521126,11.0,2283.870912951168,1,0,0.24781445
15,6,1,8.1,14.435374149659864,16.0,2283.9740976645435,1,0,0.31085622
15,6,1,8.1,14.743243243243244,55.0,2283.9740976645435,1,0,0.30882722
15,6,1,8.1,13.874213836477988,37.0,1698.3740976645436,1,0,0.23193224
16,6,1,8.1,13.142011834319527,-2.0,2357.6658174097665,1,0,0.16742814
16,6,1,8.1,13.239766081871345,-7.0,2283.8658174097664,1,0,0.2514991
16,6,1,8.1,13.406976744186046,50.0,163.46581740976643,1,0,0.30119595
16,6,1,8.1,13.70689655172414,-10.0,2283.8658174097664,1,0,0.26357254
17,6,1,8.1,13.785310734463277,-5.0,2283.9044585987263,1,0,0.2845958
17,6,1,8.1,13.811111111111112,3.0,2283.9044585987263,1,0,0.30250072
17,6,1,8.1,14.03867403314917,46.0,2283.9044585987263,1,0,0.37259653
17,6,1,8.1,14.152173913043478,-3.0,2283.9044585987263,1,0,0.30942908
17,6,1,8.1,14.85945945945946,63.0,2283.9044585987263,1,0,0.35428306
17,6,1,8.1,15.387096774193548,145.0,2283.9044585987263,1,0,0.36985373
17,6,1,8.1,16.409574468085108,-9.0,2283.9044585987263,1,0,0.34924513
17,6,1,8.1,16.86387434554974,0.0,2283.9044585987263,1,0,0.37961414
