hour,day_of_week,is_weekend,weather_severity,rolling_origin_delay,prev_delay,congestion_score,carrier_avg_delay,route_avg_delay,actual,pred,prob
16,2,0,59.1,7.705,5.0,0.6939338235294118,11.401605024424285,32.84126984126984,0,1,0.6739292876113135
16,2,0,59.1,7.785,1.0,0.6939338235294118,11.401605024424285,20.31168831168831,0,1,0.5030469527199624
18,2,0,59.1,8.44,43.0,0.6266544117647059,0.5218480378513777,-13.345238095238097,0,1,0.5558474771332904
18,2,0,59.1,8.44,43.0,0.6266544117647059,0.5218480378513777,-13.345238095238097,0,1,0.5558474771332904
18,2,0,59.1,8.495,11.0,0.6266544117647059,0.5218480378513777,6.773584905660377,0,1,0.6220358653133718
18,2,0,59.1,8.495,11.0,0.6266544117647059,0.5218480378513777,6.773584905660377,0,1,0.6220358653133718
18,2,0,59.1,8.425,37.0,0.6266544117647059,0.5218480378513777,5.629343629343629,0,1,0.5764856594339168
18,2,0,59.1,8.425,37.0,0.6266544117647059,0.5218480378513777,5.629343629343629,0,1,0.5764856594339168
19,2,0,59.1,9.07,23.0,0.7023897058823529,0.5218480378513777,-2.531150159744409,0,1,0.6492947492206279
19,2,0,59.1,9.11,38.0,0.7023897058823529,0.5218480378513777,-22.23684210526316,0,1,0.6684191936715512
19,2,0,59.1,9.11,38.0,0.7023897058823529,0.5218480378513777,-22.23684210526316,0,1,0.6684191936715512
19,2,0,59.1,10.98,295.0,0.7023897058823529,11.401605024424285,14.67871485943775,0,1,0.7474612051332445
19,2,0,59.1,10.98,295.0,0.7023897058823529,11.401605024424285,14.67871485943775,0,1,0.7474612051332445
19,2,0,59.1,10.98,295.0,0.7023897058823529,11.401605024424285,14.67871485943775,0,1,0.7474612051332445
20,2,0,59.1,13.225,52.0,0.438235294117647,0.5218480378513777,-9.18032786885246,0,1,0.741937709719366
16,3,0,28.9,12.83,-5.0,0.7056985294117647,11.401605024424285,32.84126984126984,0,1,0.5882500790098606
17,3,0,28.9,14.895,20.0,0.6854779411764705,11.401605024424285,9.349693251533742,0,1,0.5992412690565493
18,3,0,28.9,15.31,6.0,0.6266544117647059,0.5218480378513777,6.773584905660377,0,1,0.5279738918118233
18,3,0,28.9,15.31,6.0,0.6266544117647059,0.5218480378513777,6.773584905660377,0,1,0.5279738918118233
