hour,day_of_week,is_weekend,weather_severity,rolling_origin_delay,prev_delay,congestion_score,actual,pred,prob
20,6,1,8.1,17.115,95.0,2283.8420382165605,0,1,0.54161084
20,6,1,8.1,17.255,56.0,2283.8420382165605,0,1,0.5185312
21,6,1,8.1,16.785,43.0,2283.8250530785563,0,1,0.5744121
23,6,1,8.1,18.51,47.0,2283.6,0,1,0.5039531
17,0,0,6.2,34.025,160.0,2283.9044585987263,0,1,0.53516865
18,0,0,6.2,38.925,27.0,2283.8471337579617,0,1,0.54445684
18,0,0,6.2,40.395,63.0,2283.8471337579617,0,1,0.55405724
20,0,0,6.2,46.42,-6.0,2283.8420382165605,0,1,0.55684215
21,0,0,6.2,46.78,81.0,2357.6250530785564,0,1,0.55462646
21,0,0,6.2,46.63,19.0,2283.8250530785563,0,1,0.62522495
21,0,0,6.2,51.43,661.0,2283.8250530785563,0,1,0.6826457
19,1,0,22.9,37.11,111.0,2283.9070063694267,0,1,0.50710696
20,1,0,22.9,41.25,-2.0,2283.8420382165605,0,1,0.50323015
21,1,0,22.9,39.39,39.0,2283.8250530785563,0,1,0.63902724
21,1,0,22.9,38.825,44.0,2357.6250530785564,0,1,0.53480977
21,1,0,22.9,38.955,-5.0,2283.8250530785563,0,1,0.5081532
21,1,0,22.9,38.435,64.0,2283.8250530785563,0,1,0.5590613
22,1,0,22.9,40.81,33.0,2283.7384288747344,0,1,0.7266271
22,1,0,22.9,41.29,80.0,2283.7384288747344,0,1,0.6708903
13,2,0,5.8,30.07,54.0,2283.8382165605094,0,1,0.5716015
15,2,0,5.8,30.51,237.0,2283.9740976645435,0,1,0.5093114
17,2,0,5.8,28.965,65.0,2283.9044585987263,0,1,0.52731115
18,2,0,5.8,29.46,66.0,2283.8471337579617,0,1,0.53049743
18,2,0,5.8,29.49,7.0,2283.8471337579617,0,1,0.5335746
20,2,0,5.8,36.11,13.0,2283.8420382165605,0,1,0.54056734
20,2,0,5.8,36.11,11.0,2283.8420382165605,0,1,0.54056734
20,2,0,5.8,36.705,116.0,2283.8420382165605,0,1,0.5794222
20,2,0,5.8,37.815,63.0,2283.8420382165605,0,1,0.56321394
21,2,0,5.8,40.985,76.0,2283.8250530785563,0,1,0.5580668
22,3,0,7.65,17.455,47.0,2283.7384288747344,0,1,0.5953861
6,2,0,6.3,18.435,158.0,2357.5783439490447,0,1,0.5232346
8,2,0,6.3,38.985,126.0,2357.8,0,1,0.8087993
9,2,0,6.3,39.415,30.0,1698.3898089171971,0,1,0.570956
9,2,0,6.3,39.76,52.0,2283.989808917197,0,1,0.7746049
9,2,0,6.3,41.15,131.0,2357.7898089171977,0,1,0.82799166
10,2,0,6.3,51.355,49.0,2283.7617834394905,0,1,0.6713637
10,2,0,6.3,52.21,-2.0,2283.7617834394905,0,1,0.50283223
11,2,0,6.3,52.0,-3.0,2283.7991507431,0,1,0.5069538
11,2,0,6.3,54.465,111.0,2357.5991507431,0,1,0.6450215
11,2,0,6.3,54.95,123.0,2283.7991507431,0,1,0.6393784
11,2,0,6.3,54.725,-7.0,2357.5991507431,0,1,0.51178616
12,2,0,6.3,57.725,106.0,2357.658598726114,0,1,0.6292455
12,2,0,6.3,59.11,95.0,2357.658598726114,0,1,0.6154904
12,2,0,6.3,59.355,19.0,1698.2585987261143,0,1,0.62629014
12,2,0,6.3,59.775,89.0,1698.2585987261143,0,1,0.6548952
