run,gate,destination,terminal,walking_speed,congestion,stay_minutes,gate_change,trip_time,buffer,safe
1,GATE_D2,RESTROOM_T7,7,1.41,0.82,5,False,6.66,35,True
2,GATE_A3,RESTROOM_T8,8,1.41,1.33,17,False,19.01,35,True
3,GATE_A1,RESTROOM_T8,8,1.31,0.94,6,False,8.66,35,True
4,GATE_D1,SHAKE_SHACK_T7,7,1.66,0.92,11,True,16.82,35,True
5,GATE_C2,STARBUCKS_T5,5,1.87,1.09,8,False,11.68,35,True
6,GATE_D1,SHAKE_SHACK_T7,7,1.44,1.48,16,False,26.83,35,True
7,GATE_B2,STARBUCKS_T4,4,1.02,0.85,13,False,17.68,35,True
8,GATE_B3,STARBUCKS_T4,4,1.23,1.26,8,False,12.34,35,True
9,GATE_D2,SHAKE_SHACK_T7,7,1.72,1.07,13,False,17.64,35,True
10,GATE_C1,RESTROOM_T5,5,1.13,1.43,10,False,16.1,35,True
11,GATE_A1,RESTROOM_T8,8,1.76,1.44,15,False,18.06,35,True
12,GATE_D2,SHAKE_SHACK_T7,7,1.31,1.5,18,False,26.52,35,True
13,GATE_D2,SHAKE_SHACK_T7,7,1.45,0.93,19,False,23.8,35,True
14,GATE_D1,RESTROOM_T7,7,1.71,1.48,12,False,16.77,35,True
15,GATE_D1,RESTROOM_T7,7,1.6,1.28,17,False,21.41,35,True
16,GATE_D2,RESTROOM_T7,7,1.76,1.49,7,False,9.42,35,True
17,GATE_B3,MC_DONALDS_T4,4,1.58,0.93,18,False,22.95,35,True
18,GATE_B2,MC_DONALDS_T4,4,1.44,1.08,16,False,24.22,35,True
19,GATE_B1,RESTROOM_T4,4,1.47,0.96,19,False,21.53,35,True
20,GATE_A2,STARBUCKS_T8,8,1.7,1.01,6,False,10.66,35,True
21,GATE_A3,RESTROOM_T8,8,1.88,1.05,18,False,19.19,35,True
22,GATE_D2,RESTROOM_T7,7,1.25,1.27,6,False,8.91,35,True
23,GATE_C1,STARBUCKS_T5,5,1.38,1.19,13,False,20.73,35,True
24,GATE_D1,RESTROOM_T7,7,1.21,1.32,10,False,16.0,35,True
25,GATE_A2,STARBUCKS_T8,8,1.46,0.89,12,False,16.85,35,True
26,GATE_B3,MC_DONALDS_T4,4,0.98,0.94,19,False,27.09,35,True
27,GATE_A3,STARBUCKS_T8,8,1.34,1.44,5,False,11.38,35,True
28,GATE_D2,RESTROOM_T7,7,1.33,1.03,5,True,7.23,35,True
29,GATE_B3,STARBUCKS_T4,4,1.31,0.97,11,False,14.12,35,True
30,GATE_D1,SHAKE_SHACK_T7,7,1.15,0.99,12,False,21.07,35,True
31,GATE_A3,RESTROOM_T8,8,1.39,0.96,19,False,20.48,35,True
32,GATE_A2,RESTROOM_T8,8,1.34,1.05,6,False,7.52,35,True
33,GATE_A3,RESTROOM_T8,8,1.44,1.19,9,False,10.76,35,True
34,GATE_A1,STARBUCKS_T8,8,1.59,1.0,19,False,25.32,35,True
35,GATE_D2,SHAKE_SHACK_T7,7,1.35,1.38,7,False,14.64,35,True
36,GATE_B2,STARBUCKS_T4,4,1.05,1.28,13,False,19.94,35,True
37,GATE_C1,DUNKIN_T5,5,1.51,1.49,9,False,20.7,35,True
38,GATE_D2,SHAKE_SHACK_T7,7,1.5,0.94,19,False,23.68,35,True
39,GATE_B2,MC_DONALDS_T4,4,1.47,1.0,9,False,16.46,35,True
40,GATE_B1,STARBUCKS_T4,4,1.53,0.96,16,False,20.9,35,True
41,GATE_C1,STARBUCKS_T5,5,1.91,0.9,13,False,17.24,35,True
42,GATE_D1,SHAKE_SHACK_T7,7,1.23,0.95,9,False,17.16,35,True
43,GATE_D2,RESTROOM_T7,7,1.73,1.07,6,False,7.77,35,True
44,GATE_D1,RESTROOM_T7,7,1.1,1.45,11,False,18.3,35,True
45,GATE_C1,RESTROOM_T5,5,1.18,1.23,14,False,18.99,35,True
46,GATE_D1,RESTROOM_T7,7,1.37,1.27,18,True,23.09,35,True
47,GATE_C2,STARBUCKS_T5,5,1.65,1.19,7,False,11.51,35,True
48,GATE_D1,SHAKE_SHACK_T7,7,1.61,1.43,6,False,15.38,35,True
49,GATE_B1,STARBUCKS_T4,4,1.48,0.82,13,True,17.31,35,True
50,GATE_A2,RESTROOM_T8,8,1.25,1.14,10,False,11.78,35,True
51,GATE_B1,STARBUCKS_T4,4,1.62,1.29,18,True,24.17,35,True
52,GATE_C2,RESTROOM_T5,5,1.32,1.05,13,False,15.28,35,True
53,GATE_C2,RESTROOM_T5,5,1.43,0.81,19,False,20.61,35,True
54,GATE_A1,STARBUCKS_T8,8,1.8,0.83,15,False,19.6,35,True
55,GATE_A1,STARBUCKS_T8,8,1.7,1.35,15,False,22.99,35,True
56,GATE_D1,SHAKE_SHACK_T7,7,1.53,1.25,16,False,24.59,35,True
57,GATE_B2,STARBUCKS_T4,4,1.55,1.07,18,False,21.93,35,True
58,GATE_A3,STARBUCKS_T8,8,1.65,1.42,9,False,14.12,35,True
59,GATE_C2,RESTROOM_T5,5,1.33,0.83,7,False,8.77,35,True
60,GATE_C1,STARBUCKS_T5,5,1.59,1.05,13,False,18.93,35,True
61,GATE_A2,RESTROOM_T8,8,1.4,1.2,16,False,17.67,35,True
62,GATE_C2,RESTROOM_T5,5,1.49,0.81,16,False,17.55,35,True
63,GATE_B1,RESTROOM_T4,4,1.83,1.05,17,False,19.23,35,True
64,GATE_C2,STARBUCKS_T5,5,1.62,1.0,20,True,23.88,35,True
65,GATE_D1,RESTROOM_T7,7,1.21,0.86,5,False,8.93,35,True
